product_id,month,units_sold,avg_selling_price,avg_discount_pct
P101,2024-01-01,1200,2199,26
P101,2024-02-01,1300,2299,24
P101,2024-03-01,1400,2399,22
P101,2024-04-01,1500,2499,20
P101,2024-05-01,1600,2599,18
P101,2024-06-01,1700,2699,16
P101,2024-07-01,1800,2799,15
P101,2024-08-01,1850,2799,14
P101,2024-09-01,1900,2899,13
P101,2024-10-01,1950,2899,12
P101,2024-11-01,2000,2999,10
P101,2024-12-01,2100,2999,9

P102,2024-01-01,800,9999,28
P102,2024-02-01,900,9799,30
P102,2024-03-01,1000,9499,32
P102,2024-04-01,1100,9299,34
P102,2024-05-01,1200,8999,36
P102,2024-06-01,1300,8799,38
P102,2024-07-01,1400,8599,40
P102,2024-08-01,1500,8399,42
P102,2024-09-01,1550,8299,44
P102,2024-10-01,1600,8199,45
P102,2024-11-01,1650,8099,46
P102,2024-12-01,1700,7999,48

P103,2024-01-01,300,21999,12
P103,2024-02-01,320,22499,11
P103,2024-03-01,340,22999,10
P103,2024-04-01,360,23499,9
P103,2024-05-01,380,23999,9
P103,2024-06-01,400,24499,8
P103,2024-07-01,420,24999,8
P103,2024-08-01,440,24999,7
P103,2024-09-01,460,25499,7
P103,2024-10-01,480,25499,6
P103,2024-11-01,500,25999,6
P103,2024-12-01,520,25999,5

P109,2024-01-01,2000,299,25
P109,2024-02-01,2200,319,23
P109,2024-03-01,2400,329,21
P109,2024-04-01,2600,339,19
P109,2024-05-01,2800,349,17
P109,2024-06-01,3000,359,15
P109,2024-07-01,3200,369,14
P109,2024-08-01,3400,379,13
P109,2024-09-01,3600,389,12
P109,2024-10-01,3800,399,11
P109,2024-11-01,4000,399,10
P109,2024-12-01,4200,399,9
